,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Daily Product Sales Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"For Week 202613    08-Mar-2026 to 14-Mar-2026
Suppliers: ALL
Departments: ALL
SubDepartments: ALL
Branches: PREMIER
Events: ALL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stk Code,,,,,,,,Product Description,,,,,,,,,,,SUN,,,,MON,,,TUE,,WED,,,THU,,,FRI,,,,SAT,,,Total,,,,,Value,,,,Cost,,,Profit,,,In Stk,,,On Ord,,,%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dept:,,,,1-GROCERY NON VAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,0-NO SUB DEPARTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,GRAHAMS SEMI SKIMMED,,,,,,,,2 litre,,,4,,,,7,,,9,,7,,,10,,9,,,,7,,,,,53,,,,99.59,,,,66.250,,,33.34,,,-28770,,,0,,33.48,,
,,,,,,,,REDBULL 355ML,,,,,,,,,,,2,,,,5,,,8,,8,,,6,,16,,,,2,,,,,47,,,,103.40,,,,94.000,,,9.40,,,-157,,,0,,9.09,,
,,,,,,,,DAIRRYLEA CHICKEN,,,,,,,,,,,1,,,,8,,,11,,0,,,10,,6,,,,0,,,,,36,,,,59.40,,,,52.200,,,7.20,,,-429,,,0,,12.12,,
,,,,,,,,KINDER JOY EGG,,,,,,,,,,,0,,,,0,,,0,,7,,,13,,12,,,,0,,,,,32,,,,48.38,,,,30.080,,,18.30,,,-1066,,,0,,37.83,,
,,,,,,,,EURO SHOPPER SF ENERGY,,,,,,,,,,,2,,,,8,,,9,,1,,,9,,3,,,,0,,,,,32,,,,16.00,,,,9.600,,,6.40,,,-647,,,0,,40.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,REDBULL WHITE PEACH,,,,,,,,,,,1,,,,4,,,12,,1,,,4,,5,,,,4,,,,,31,,,,51.15,,,,44.950,,,6.20,,,-735,,,0,,12.12,,
,,,,,,,,PEPSI MAX 500ML,,,,,,,,,,,1,,,,2,,,2,,4,,,5,,5,,,,2,,,,,21,,,,29.19,,,,24.990,,,4.20,,,-313,,,0,,14.39,,
,,,,,,,,MONSTER ENERGY MANGO,,,,,,,,,,,0,,,,2,,,2,,3,,,6,,7,,,,1,,,,,21,,,,36.75,,,,30.450,,,6.30,,,-1652,,,0,,17.14,,
,,,,,,,,BOBBY'S SNAKE WINDER BLUE RAZZ,,,,,,,,,,,10,,,,1,,,3,,4,,,1,,1,,,,1,,,,,21,,,,10.50,,,,2.100,,,8.40,,,-2007,,,0,,80.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,IRN BRU 2L,,,,,,,,,,,1,,,,6,,,1,,4,,,7,,1,,,,1,,,,,21,,,,39.69,,,,35.490,,,4.20,,,-1000,,,0,,10.58,,
,,,,,,,,KOKA NOODLES CURRY 70G,,,,,,,,,,,0,,,,4,,,2,,4,,,2,,4,,,,3,,,,,19,,,,26.41,,,,15.830,,,10.58,,,-8326,,,0,,40.07,,
,,,,,,,,STARBURST MINIS,,,,,,,,,,,2,,,,6,,,0,,5,,,2,,2,,,,1,,,,,18,,,,18.00,,,,14.400,,,3.60,,,-469,,,0,,20.00,,
,,,,,,,,BOOST SPORT RASPBERRY & MANGO,,,,,,,,,,,4,,,,0,,,4,,2,,,3,,5,,,,0,,,,,18,,,,16.02,,,,12.420,,,3.60,,,-218,,,0,,22.47,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,LUCOZADE ENERGY ORANGE,,,,,,,,500ML,,,1,,,,0,,,4,,2,,,4,,5,,,,2,,,,,18,,,,27.00,,,,23.400,,,3.60,,,-1803,,,0,,13.33,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,RUBICON PINEAPPLE,,,,,,,,,,,0,,,,18,,,0,,0,,,0,,0,,,,0,,,,,18,,,,23.22,,,,19.620,,,3.60,,,-19,,,0,,15.50,,
